chr1	65419	71585	+	OR4F5	1	65419
chr1	450740	451678	-	OR4F29	1	451678
chr1	685716	686654	-	OR4F16	1	686654
chr1	923923	944574	+	SAMD11	2	923923
chr1	944203	959256	-	NOC2L	1	959256
chr1	960584	965719	+	KLHL17	1	960584
chr1	966482	975865	+	PLEKHN1	1	966482
chr1	975198	982093	-	PERM1	2	982093
chr1	998964	1000097	-	HES4	1	1000097
chr1	1013497	1014540	+	ISG15	1	1013497
chr1	1020120	1056116	+	AGRN	2	1020120
chr1	1070967	1074306	-	RNF223	1	1074306
chr1	1081823	1116089	-	C1orf159	1	1116089
chr1	1173880	1197936	+	TTLL10	2	1173880
chr1	1203508	1206592	-	TNFRSF18	1	1206592
chr1	1211340	1214153	-	TNFRSF4	1	1214153
chr1	1216931	1232001	-	SDF4	1	1232001
chr1	1232237	1235041	+	B3GALT6	1	1232237
chr1	1242453	1246722	-	C1QTNF12	1	1246722
chr1	1253912	1273854	-	UBE2J2	1	1273854
chr1	1280436	1292025	+	SCNN1D	1	1280436
chr1	1292391	1307930	-	ACAP3	1	1307930
chr1	1308597	1311677	+	PUSL1	1	1308597
chr1	1311600	1324660	-	INTS11	1	1324660
chr1	1324802	1328896	+	CPTP	1	1324802
chr1	1331280	1335314	+	TAS1R3	1	1331280
chr1	1335278	1349418	-	DVL1	1	1349418
chr1	1352689	1363541	-	MXRA8	4	1363541
chr1	1373736	1375207	-	AURKAIP1	1	1375207
chr1	1385711	1399335	-	CCNL2	3	1399335
chr1	1401909	1407293	-	MRPL20	1	1407293
chr1	1418420	1421276	-	ANKRD65	1	1421276
chr1	1425871	1430255	+	TMEM88B	1	1425871
chr1	1435690	1442882	+	VWA1	1	1435690
chr1	1449689	1470163	+	ATAD3C	1	1449689
chr1	1471765	1497848	+	ATAD3B	2	1471765
chr1	1512162	1534685	+	ATAD3A	2	1512162
chr1	1534778	1540624	-	TMEM240	1	1540624
chr1	1541673	1574863	-	SSU72	1	1574863
chr1	1598012	1600135	-	FNDC10	1	1600135
chr1	1615500	1630605	+	MIB2	2	1615500
chr1	1632173	1634654	+	MMP23B	1	1632173
chr1	1635225	1659004	-	CDK11B	1	1659004
chr1	1661478	1692795	-	SLC35E2B	1	1692795
chr1	1702379	1724357	-	CDK11A	1	1724357
chr1	1751232	1780031	-	NADK	4	1780031
chr1	1785286	1891087	-	GNB1	1	1891087
chr1	1915260	1917296	+	CALML6	1	1915260
chr1	1917591	1919279	-	TMEM52	1	1919279
chr1	1921957	2003786	-	CFAP74	1	2003786
chr1	2019345	2030758	+	GABRD	1	2019345
chr1	2050411	2185395	+	PRKCZ	4	2050411
chr1	2184477	2212720	-	FAAP20	5	2212720
chr1	2228319	2310213	+	SKI	1	2228319
chr1	2321253	2391554	-	MORN1	2	2391554
chr1	2391841	2405436	+	RER1	1	2391841
chr1	2403974	2413827	-	PEX10	2	2413827
chr1	2467451	2505532	+	PLCH2	3	2467451
chr1	2508537	2526596	-	PANK4	1	2526596
chr1	2528745	2530263	-	HES5	1	2530263
chr1	2556371	2563829	+	TNFRSF14	1	2556371
chr1	2586777	2591468	+	PRXL2B	1	2586777
chr1	2590639	2633016	-	MMEL1	1	2633016
chr1	2636986	2801693	-	TTC34	1	2801693
chr1	3021467	3022903	+	ACTRT2	1	3021467
chr1	3069203	3438621	+	PRDM16	1	3069203
chr1	3454665	3481113	+	ARHGEF16	1	3454665
chr1	3487951	3611508	-	MEGF6	1	3611508
chr1	3625015	3630127	+	TPRG1L	1	3625015
chr1	3630770	3650103	-	WRAP73	1	3650103
chr1	3652516	3736201	+	TP73	3	3652516
chr1	3752450	3771645	+	CCDC27	1	3752450
chr1	3772749	3775956	+	SMIM1	1	3772749
chr1	3778559	3796498	-	LRRC47	1	3796498
chr1	3812086	3857211	-	CEP104	1	3857211
chr1	3857476	3885429	+	DFFB	1	3857476
chr1	3889133	3900272	-	C1orf174	1	3900272
chr1	4654609	4792534	+	AJAP1	2	4654609
chr1	5862811	5992425	-	NPHP4	1	5992425
chr1	5992676	6101180	+	KCNAB2	4	5992676
chr1	6101787	6180321	-	CHD5	1	6180321
chr1	6185020	6199595	-	RPL22	1	6199595
chr1	6206119	6221299	+	RNF207	1	6206119
chr1	6221193	6235964	-	ICMT	1	6235964
chr1	6244179	6245578	+	HES3	1	6244179
chr1	6247353	6261098	-	GPR153	1	6261098
chr1	6264272	6393767	-	ACOT7	4	6393767
chr1	6415232	6419919	-	HES2	1	6419919
chr1	6424776	6460944	+	ESPN	1	6424776
chr1	6460786	6466173	-	TNFRSF25	2	6466173
chr1	6466092	6520092	-	PLEKHG5	7	6520092
chr1	6521347	6554513	-	NOL9	1	6554513
chr1	6555307	6579755	+	TAS1R1	1	6555307
chr1	6579994	6589280	+	ZBTB48	1	6579994
chr1	6590724	6602869	-	KLHL21	1	6602869
chr1	6613731	6624030	+	PHF13	1	6613731
chr1	6624868	6635595	+	THAP3	3	6624868
chr1	6634170	6701816	-	DNAJC11	1	6701816
chr1	6785454	7769706	+	CAMTA1	7	6785454
chr1	7771296	7781432	+	VAMP3	1	7771296
chr1	7784291	7845177	+	PER3	2	7784291
chr1	7847612	7853491	-	UTS2	2	7853491
chr1	7915871	7940839	-	TNFRSF9	1	7940839
chr1	7961711	7985505	+	PARK7	1	7961711
chr1	8011727	8026309	-	ERRFI1	1	8026309
chr1	8318114	8344165	+	SLC45A1	1	8318114
chr1	8352404	8817640	-	RERE	2	8817640
chr1	8861000	8878686	-	ENO1	1	8878686
chr1	8945868	8975092	+	CA6	2	8945868
