chr1	69090	70008	+	OR4F5	79501
chr1	861120	879961	+	SAMD11	148398
chr1	879582	894679	-	NOC2L	26155
chr1	895966	901099	+	KLHL17	339451
chr1	901876	910484	+	PLEKHN1	84069
chr1	910578	917497	-	PERM1	84808
chr1	934341	935552	-	HES4	57801
chr1	948846	949919	+	ISG15	9636
chr1	955502	991499	+	AGRN	375790
chr1	1007125	1009687	-	RNF223	401934
chr1	1017197	1051736	-	C1orf159	54991
chr1	1109285	1133313	+	TTLL10	254173
chr1	1138887	1142089	-	TNFRSF18	8784
chr1	1146705	1149548	-	TNFRSF4	7293
chr1	1152287	1167447	-	SDF4	51150
chr1	1167628	1170420	+	B3GALT6	126792
chr1	1177825	1182102	-	C1QTNF12	388581
chr1	1189291	1209234	-	UBE2J2	118424
chr1	1215815	1227409	+	SCNN1D	6339
chr1	1227763	1243269	-	ACAP3	116983
chr1	1243959	1247057	+	PUSL1	126789
chr1	1246964	1260067	-	INTS11	54973
chr1	1260142	1264276	+	CPTP	80772
chr1	1266725	1270700	+	TAS1R3	83756
chr1	1270657	1284492	-	DVL1	1855
chr1	1288068	1293927	-	MXRA8	54587
chr1	1309109	1310580	-	AURKAIP1	54998
chr1	1321090	1334722	-	CCNL2	81669
chr1	1337275	1342693	-	MRPL20	55052
chr1	1353799	1356824	-	ANKRD65	441869
chr1	1361507	1363167	+	TMEM88B	643965
chr1	1370902	1378262	+	VWA1	64856
chr1	1385068	1405538	+	ATAD3C	219293
chr1	1407134	1431584	+	ATAD3B	83858
chr1	1447522	1470067	+	ATAD3A	55210
chr1	1470157	1475740	-	TMEM240	339453
chr1	1477052	1510262	-	SSU72	29101
chr1	1533387	1535476	-	FNDC10	643988
chr1	1550794	1565990	+	MIB2	142678
chr1	1567559	1570030	+	MMP23B	8510
chr1	1592938	1624243	-	SLC35E2B	728661
chr1	1570602	1655859	-	CDK11B	984
chr1	1633822	1656004	-	CDK11A	728642
chr1	1656276	1677438	-	SLC35E2A	9906
chr1	1682670	1690081	-	NADK	65220
chr1	1716723	1822556	-	GNB1	2782
chr1	1846265	1848733	+	CALML6	163688
chr1	1849028	1850740	-	TMEM52	339456
chr1	1853389	1935276	-	CFAP74	85452
chr1	1950767	1962192	+	GABRD	2563
chr1	1981908	2116838	+	PRKCZ	5590
chr1	2115898	2126214	-	FAAP20	199990
chr1	2160133	2241652	+	SKI	6497
chr1	2252691	2323190	-	MORN1	79906
chr1	2323213	2336885	+	RER1	11079
chr1	2336240	2344010	-	PEX10	5192
chr1	2398897	2436969	+	PLCH2	9651
chr1	2439969	2458067	-	PANK4	55229
chr1	2460183	2461684	-	HES5	388585
chr1	2487803	2497061	+	TNFRSF14	8764
chr1	2518188	2522908	+	FAM213B	127281
chr1	2522080	2564481	-	MMEL1	79258
chr1	2572806	2706230	-	TTC34	100287898
chr1	2938045	2939467	+	ACTRT2	140625
chr1	2985741	3355185	+	PRDM16	63976
chr1	3371146	3397677	+	ARHGEF16	27237
chr1	3404505	3528059	-	MEGF6	1953
chr1	3541555	3546694	+	TPRG1L	127262
